feedback_id,user_id,account_id,submitted_at,feature_area,source,tag,sentiment,severity,verbatim
fb_00000,usr_f3a2a6c2,acct_northwind,2026-05-20,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00001,usr_f3a2a6c2,acct_northwind,2026-05-23,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00002,usr_4616e3c8,acct_northwind,2026-05-26,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00003,usr_9d7baf24,acct_northwind,2026-06-22,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00004,usr_9d7baf24,acct_northwind,2026-05-30,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00005,usr_b3599c2a,acct_northwind,2026-06-20,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00006,usr_b3599c2a,acct_northwind,2026-05-15,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00007,usr_bc48e4c7,acct_northwind,2026-05-02,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00008,usr_233e184b,acct_northwind,2026-05-06,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00009,usr_233e184b,acct_northwind,2026-06-12,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00010,usr_9001b711,acct_northwind,2026-06-22,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00011,usr_9001b711,acct_northwind,2026-05-01,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00012,usr_1c54e2bf,acct_helix,2026-05-17,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00013,usr_1c54e2bf,acct_helix,2026-06-11,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00014,usr_63e0bcc5,acct_helix,2026-05-08,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00015,usr_63e0bcc5,acct_helix,2026-06-18,mobile_notifications,support,churn_signal,negative,high,Three users disabled notifications and stopped opening the app weekly.
fb_00016,usr_3a02385f,acct_helix,2026-05-10,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00017,usr_3a02385f,acct_helix,2026-05-19,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00018,usr_75ee9647,acct_helix,2026-06-14,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00019,usr_75ee9647,acct_helix,2026-05-22,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00020,usr_d0f46b26,acct_helix,2026-05-16,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00021,usr_d0f46b26,acct_helix,2026-05-02,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00022,usr_7772d972,acct_helix,2026-06-10,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00023,usr_ec422d9b,acct_cascade,2026-05-27,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00024,usr_c10f0cd2,acct_cascade,2026-06-08,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00025,usr_c10f0cd2,acct_cascade,2026-04-30,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00026,usr_72e9b546,acct_cascade,2026-06-11,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00027,usr_72e9b546,acct_cascade,2026-05-18,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00028,usr_29787d6d,acct_vertex,2026-05-16,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00029,usr_9e923242,acct_vertex,2026-05-19,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00030,usr_9e923242,acct_vertex,2026-05-16,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00031,usr_aca5e3d4,acct_vertex,2026-06-21,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00032,usr_aca5e3d4,acct_vertex,2026-06-02,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00033,usr_fb7c3e7f,acct_vertex,2026-05-03,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00034,usr_fb7c3e7f,acct_vertex,2026-05-26,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00035,usr_b3745624,acct_vertex,2026-06-17,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00036,usr_b84e0071,acct_vertex,2026-05-10,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00037,usr_29937abc,acct_vertex,2026-06-21,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00038,usr_29937abc,acct_vertex,2026-05-13,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00039,usr_ff28379d,acct_pioneer,2026-04-30,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00040,usr_614fe0ed,acct_pioneer,2026-05-26,mobile_notifications,support,churn_signal,negative,high,Three users disabled notifications and stopped opening the app weekly.
fb_00041,usr_614fe0ed,acct_pioneer,2026-05-02,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00042,usr_8edebd85,acct_pioneer,2026-05-28,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00043,usr_8edebd85,acct_pioneer,2026-05-04,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00044,usr_bd4764b5,acct_pioneer,2026-06-18,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00045,usr_cbd58648,acct_pioneer,2026-06-17,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00046,usr_cbd58648,acct_pioneer,2026-06-06,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00047,usr_43e6f54e,acct_pioneer,2026-06-07,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00048,usr_43e6f54e,acct_pioneer,2026-06-13,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00049,usr_95b0f5ed,acct_pioneer,2026-05-10,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00050,usr_38b93348,acct_summit,2026-05-07,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00051,usr_df35ac80,acct_summit,2026-05-14,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00052,usr_f0255b6b,acct_summit,2026-05-01,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00053,usr_f0255b6b,acct_summit,2026-05-28,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00054,usr_73a9887c,acct_summit,2026-04-29,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00055,usr_91fef244,acct_summit,2026-06-04,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00056,usr_b3f238c7,acct_brightline,2026-06-06,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00057,usr_a9c76047,acct_brightline,2026-05-03,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00058,usr_a9c76047,acct_brightline,2026-06-13,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00059,usr_5d55bd75,acct_brightline,2026-06-13,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00060,usr_0d2b3b4a,acct_brightline,2026-05-31,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00061,usr_0d2b3b4a,acct_brightline,2026-06-18,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00062,usr_f777d0c9,acct_brightline,2026-05-24,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00063,usr_f777d0c9,acct_brightline,2026-05-29,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00064,usr_b2d1be52,acct_brightline,2026-05-04,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00065,usr_b30f1de9,acct_brightline,2026-06-06,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00066,usr_b30f1de9,acct_brightline,2026-06-03,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00067,usr_ebcf8cdb,acct_brightline,2026-06-05,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00068,usr_ebcf8cdb,acct_brightline,2026-06-05,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00069,usr_3e5ffb59,acct_brightline,2026-06-08,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00070,usr_3e5ffb59,acct_brightline,2026-06-11,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00071,usr_5ba021a1,acct_riverstone,2026-06-17,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00072,usr_5ba021a1,acct_riverstone,2026-06-03,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00073,usr_7bd4d04e,acct_riverstone,2026-06-14,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00074,usr_7c309684,acct_riverstone,2026-06-08,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00075,usr_7c309684,acct_riverstone,2026-05-29,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00076,usr_5480a843,acct_riverstone,2026-05-24,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00077,usr_c06de761,acct_riverstone,2026-05-19,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00078,usr_def66d35,acct_riverstone,2026-05-09,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00079,usr_f4788c00,acct_riverstone,2026-05-17,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00080,usr_f4788c00,acct_riverstone,2026-06-22,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00081,usr_f8afc34e,acct_atlas,2026-05-18,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00082,usr_f8afc34e,acct_atlas,2026-06-10,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00083,usr_1c5ff1ef,acct_atlas,2026-06-15,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00084,usr_1c5ff1ef,acct_atlas,2026-06-15,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00085,usr_4155cdc9,acct_atlas,2026-05-21,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00086,usr_0479ee10,acct_atlas,2026-05-13,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00087,usr_db575417,acct_atlas,2026-05-26,mobile_notifications,support,churn_signal,negative,high,Three users disabled notifications and stopped opening the app weekly.
fb_00088,usr_db575417,acct_atlas,2026-06-22,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00089,usr_da55d73e,acct_atlas,2026-05-31,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00090,usr_da55d73e,acct_atlas,2026-05-14,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00091,usr_a7929c9f,acct_atlas,2026-04-28,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00092,usr_a7929c9f,acct_atlas,2026-06-10,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00093,usr_b4643ad1,acct_atlas,2026-06-05,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00094,usr_b4643ad1,acct_atlas,2026-05-10,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00095,usr_75f06a6b,acct_atlas,2026-05-07,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00096,usr_75f06a6b,acct_atlas,2026-06-02,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00097,usr_26c2f230,acct_horizon,2026-05-27,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00098,usr_26c2f230,acct_horizon,2026-05-27,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00099,usr_4c72ad0b,acct_horizon,2026-06-13,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00100,usr_89fee6e7,acct_horizon,2026-05-01,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00101,usr_89fee6e7,acct_horizon,2026-05-04,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00102,usr_43112a36,acct_horizon,2026-04-30,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00103,usr_43112a36,acct_horizon,2026-05-15,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00104,usr_606d08a4,acct_horizon,2026-06-09,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00105,usr_55f51956,acct_horizon,2026-05-16,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00106,usr_383d2569,acct_horizon,2026-06-03,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00107,usr_383d2569,acct_horizon,2026-05-18,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00108,usr_918ec5ad,acct_horizon,2026-06-01,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00109,usr_b200946b,acct_horizon,2026-05-06,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00110,usr_2c535d11,acct_clearpath,2026-05-04,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00111,usr_fd0a84ad,acct_clearpath,2026-05-08,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00112,usr_fd0a84ad,acct_clearpath,2026-04-30,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00113,usr_b66322f2,acct_clearpath,2026-05-06,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00114,usr_b66322f2,acct_clearpath,2026-06-19,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00115,usr_60231302,acct_clearpath,2026-06-12,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00116,usr_9948d200,acct_clearpath,2026-05-27,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00117,usr_be6b5403,acct_sterling,2026-05-22,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00118,usr_e9cf60f1,acct_sterling,2026-05-23,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00119,usr_a878c490,acct_sterling,2026-06-09,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00120,usr_ab346899,acct_sterling,2026-05-19,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00121,usr_72911137,acct_sterling,2026-05-12,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00122,usr_5247098e,acct_blueharbor,2026-05-03,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00123,usr_5247098e,acct_blueharbor,2026-05-29,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00124,usr_f1f1717c,acct_blueharbor,2026-06-20,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00125,usr_f1f1717c,acct_blueharbor,2026-05-03,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00126,usr_01e21b30,acct_blueharbor,2026-06-02,mobile_notifications,in_app,notification_noise,negative,high,Getting pinged for every reply in large channels overnight.
fb_00127,usr_01e21b30,acct_blueharbor,2026-06-12,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
