feedback_id,user_id,account_id,submitted_at,feature_area,source,tag,sentiment,severity,verbatim
fb_00128,usr_04a7a24b,acct_blueharbor,2026-05-04,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00129,usr_04a7a24b,acct_blueharbor,2026-05-06,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00130,usr_90db4366,acct_blueharbor,2026-06-09,mobile_notifications,in_app,notification_noise,negative,high,Getting pinged for every reply in large channels overnight.
fb_00131,usr_90db4366,acct_blueharbor,2026-05-07,mobile_notifications,in_app,notification_noise,negative,high,Getting pinged for every reply in large channels overnight.
fb_00132,usr_cc196fa6,acct_blueharbor,2026-06-13,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00133,usr_cc196fa6,acct_blueharbor,2026-04-30,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00134,usr_0fa297b8,acct_blueharbor,2026-05-13,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00135,usr_0fa297b8,acct_blueharbor,2026-05-21,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00136,usr_37579dad,acct_redwood,2026-05-11,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00137,usr_37579dad,acct_redwood,2026-05-15,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00138,usr_7e475e1e,acct_redwood,2026-05-11,mobile_notifications,in_app,notification_noise,negative,high,Getting pinged for every reply in large channels overnight.
fb_00139,usr_8b77b3d0,acct_redwood,2026-05-09,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00140,usr_8b77b3d0,acct_redwood,2026-05-13,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00141,usr_84df97e7,acct_redwood,2026-06-14,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00142,usr_f53b71d8,acct_redwood,2026-06-06,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00143,usr_f53b71d8,acct_redwood,2026-06-11,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00144,usr_cb23a64d,acct_ironclad,2026-06-08,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00145,usr_cb23a64d,acct_ironclad,2026-05-02,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00146,usr_658e5c66,acct_ironclad,2026-06-17,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00147,usr_10bc85e7,acct_ironclad,2026-06-11,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00148,usr_10bc85e7,acct_ironclad,2026-05-10,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00149,usr_2b55ad54,acct_ironclad,2026-04-30,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00150,usr_2b55ad54,acct_ironclad,2026-05-04,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00151,usr_46d1fa16,acct_ironclad,2026-06-07,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00152,usr_46d1fa16,acct_ironclad,2026-04-30,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00153,usr_4b716aff,acct_ironclad,2026-06-13,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00154,usr_07ece614,acct_ironclad,2026-05-13,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00155,usr_d4c932cd,acct_ironclad,2026-05-11,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00156,usr_3c1a2ab5,acct_ironclad,2026-06-14,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00157,usr_89a5475d,acct_ironclad,2026-05-05,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00158,usr_89a5475d,acct_ironclad,2026-06-01,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00159,usr_65626227,acct_fieldforce,2026-05-05,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00160,usr_c85f75da,acct_fieldforce,2026-04-28,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00161,usr_c85f75da,acct_fieldforce,2026-05-17,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00162,usr_a5a2fa1f,acct_fieldforce,2026-06-13,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00163,usr_a5a2fa1f,acct_fieldforce,2026-05-19,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00164,usr_398b554c,acct_fieldforce,2026-05-20,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00165,usr_f995a22f,acct_fieldforce,2026-06-07,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00166,usr_f995a22f,acct_fieldforce,2026-05-01,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00167,usr_af92c361,acct_fieldforce,2026-06-16,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00168,usr_af92c361,acct_fieldforce,2026-05-08,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00169,usr_d7908556,acct_greenleaf,2026-05-23,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00170,usr_fbdb1454,acct_greenleaf,2026-05-05,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00171,usr_fbdb1454,acct_greenleaf,2026-05-24,mobile_notifications,in_app,notification_noise,negative,high,Getting pinged for every reply in large channels overnight.
fb_00172,usr_d3529cc2,acct_greenleaf,2026-06-12,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00173,usr_cbe90089,acct_greenleaf,2026-06-04,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00174,usr_cbe90089,acct_greenleaf,2026-05-31,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00175,usr_45820de4,acct_greenleaf,2026-06-07,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00176,usr_76a3e9ce,acct_greenleaf,2026-06-21,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00177,usr_76a3e9ce,acct_greenleaf,2026-06-19,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00178,usr_48ac2b1f,acct_greenleaf,2026-05-19,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00179,usr_48ac2b1f,acct_greenleaf,2026-06-05,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00180,usr_7b997f91,acct_quantum,2026-05-19,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00181,usr_7b997f91,acct_quantum,2026-04-29,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00182,usr_5cce18dd,acct_quantum,2026-05-04,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00183,usr_ac90e643,acct_quantum,2026-05-04,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00184,usr_768fc7e4,acct_quantum,2026-06-17,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00185,usr_768fc7e4,acct_quantum,2026-05-18,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00186,usr_0bc3eaa0,acct_quantum,2026-05-25,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00187,usr_0bc3eaa0,acct_quantum,2026-06-08,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00188,usr_ed14e80d,acct_union,2026-06-14,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00189,usr_ed14e80d,acct_union,2026-04-29,search,in_app,slow_results,negative,medium,Search takes too long when filtering by date in large workspaces.
fb_00190,usr_fe3fe2f3,acct_union,2026-04-28,mobile_notifications,in_app,notification_noise,negative,high,Getting pinged for every reply in large channels overnight.
fb_00191,usr_f8f48754,acct_union,2026-05-30,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00192,usr_f35c9e22,acct_union,2026-05-26,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00193,usr_f35c9e22,acct_union,2026-04-30,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00194,usr_69532027,acct_union,2026-06-14,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00195,usr_dcc0601c,acct_union,2026-05-20,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00196,usr_927f655a,acct_union,2026-06-01,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00197,usr_927f655a,acct_union,2026-06-09,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00198,usr_a9c1d33d,acct_union,2026-05-02,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00199,usr_a9c1d33d,acct_union,2026-06-18,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00200,usr_4c075071,acct_coastal,2026-06-03,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00201,usr_fc2d635e,acct_coastal,2026-05-13,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00202,usr_998eec44,acct_coastal,2026-05-18,mobile_notifications,support,churn_signal,negative,high,Three users disabled notifications and stopped opening the app weekly.
fb_00203,usr_998eec44,acct_coastal,2026-05-28,mobile_notifications,support,churn_signal,negative,high,Three users disabled notifications and stopped opening the app weekly.
fb_00204,usr_d12f5dcb,acct_coastal,2026-05-31,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00205,usr_d12f5dcb,acct_coastal,2026-05-12,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00206,usr_31babd02,acct_coastal,2026-05-09,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00207,usr_31babd02,acct_coastal,2026-05-29,integrations,support,setup_dropoff,negative,high,Stalled on Jira webhook setup; no clear error message.
fb_00208,usr_f8678968,acct_coastal,2026-05-08,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00209,usr_32398a7f,acct_nimble,2026-05-30,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00210,usr_32398a7f,acct_nimble,2026-06-13,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00211,usr_d49bd75c,acct_nimble,2026-05-29,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00212,usr_d49bd75c,acct_nimble,2026-06-09,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00213,usr_b37194cb,acct_nimble,2026-05-02,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00214,usr_fadd63e4,acct_nimble,2026-05-11,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00215,usr_fadd63e4,acct_nimble,2026-05-21,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00216,usr_9ad98368,acct_nimble,2026-05-19,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00217,usr_6d9134e5,acct_nimble,2026-06-08,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00218,usr_6d9134e5,acct_nimble,2026-05-14,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00219,usr_583eb065,acct_craftworks,2026-05-24,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00220,usr_583eb065,acct_craftworks,2026-06-21,mobile_notifications,in_app,return_driver,positive,low,Mobile alerts are how I know when to jump back in on shift.
fb_00221,usr_135ba102,acct_craftworks,2026-05-23,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00222,usr_5cc4f0cd,acct_craftworks,2026-06-03,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00223,usr_8761ef87,acct_craftworks,2026-06-14,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00224,usr_8761ef87,acct_craftworks,2026-05-17,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00225,usr_42848727,acct_prairie,2026-05-16,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00226,usr_42848727,acct_prairie,2026-06-15,mobile_notifications,in_app,notification_noise,negative,high,Getting pinged for every reply in large channels overnight.
fb_00227,usr_87f53827,acct_prairie,2026-06-06,mobile_notifications,support,mute_complexity,negative,medium,Hard to mute one channel without missing urgent alerts.
fb_00228,usr_87f53827,acct_prairie,2026-04-30,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00229,usr_a2893ad0,acct_prairie,2026-06-16,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00230,usr_c91bc0cb,acct_prairie,2026-05-23,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00231,usr_c91bc0cb,acct_prairie,2026-06-16,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00232,usr_8b885c0f,acct_prairie,2026-06-01,search,support,wrong_ranking,negative,high,Top results rarely include the thread I need during outages.
fb_00233,usr_8b885c0f,acct_prairie,2026-06-22,channel_browse,in_app,navigation,positive,low,Sidebar organization helps new hires find teams.
fb_00234,usr_a29e5070,acct_prairie,2026-06-15,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00235,usr_80e95419,acct_prairie,2026-06-05,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00236,usr_9884b23e,acct_prairie,2026-05-30,search,in_app,missing_context,negative,medium,Need snippets from attachments in search results.
fb_00237,usr_5cc0a08e,acct_urban,2026-06-12,integrations,support,admin_burden,negative,medium,Need a checklist for rolling integrations to 40 teams.
fb_00238,usr_d569ad3b,acct_urban,2026-05-02,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00239,usr_d569ad3b,acct_urban,2026-05-06,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00240,usr_80f4ad4a,acct_urban,2026-06-01,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00241,usr_e53be2fa,acct_urban,2026-05-22,admin_permissions,in_app,deal_dependency,negative,high,Procurement asked for bulk role assignment before signature.
fb_00242,usr_e53be2fa,acct_urban,2026-05-23,mobile_notifications,support,churn_signal,negative,high,Three users disabled notifications and stopped opening the app weekly.
fb_00243,usr_5e484ee3,acct_urban,2026-05-25,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00244,usr_5e484ee3,acct_urban,2026-05-29,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00245,usr_5b52542e,acct_urban,2026-05-10,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00246,usr_5b52542e,acct_urban,2026-05-30,integrations,in_app,retention_driver,positive,medium,GitLab integration keeps engineering in the workspace all day.
fb_00247,usr_40e91384,acct_urban,2026-06-21,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
fb_00248,usr_fa3a36f0,acct_pulse,2026-05-13,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00249,usr_fa3a36f0,acct_pulse,2026-05-01,search,support,search_miss,negative,high,Cannot find incident postmortems across channels from last quarter.
fb_00250,usr_c4eee95b,acct_pulse,2026-04-28,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00251,usr_20590eca,acct_pulse,2026-05-07,search,support,enterprise_blocker,negative,critical,Renewal review flagged search as a blocker for ops teams.
fb_00252,usr_20590eca,acct_pulse,2026-05-13,boards,in_app,nice_to_have,neutral,low,Boards are fine for sprint planning but not daily.
fb_00253,usr_fc485acf,acct_pulse,2026-05-11,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00254,usr_fcd469cb,acct_pulse,2026-06-04,admin_permissions,support,bulk_edit,negative,medium,Updating channel moderators team-by-team is painful.
fb_00255,usr_43c4aa34,acct_pulse,2026-06-13,threaded_replies,in_app,workflow_core,positive,low,Threads keep incident channels readable.
fb_00256,usr_1713d8be,acct_pulse,2026-06-14,calls,in_app,occasional_use,neutral,low,We use calls for all-hands but Slack huddles for quick syncs.
